,AppStore,2022-09-05,
4.657,GooglePlay,2023-01-13,
4.724,GooglePlay,2023-01-14,
4.870552920053755,AppStore,2023-01-14,
4.837164750957855,AppStore,2023-01-15,
4.558,GooglePlay,2023-01-15,
4.938628158844765,AppStore,2023-01-16,
4.478,GooglePlay,2023-01-16,
4.6,GooglePlay,2023-01-17,
4.850746268655848,AppStore,2023-01-17,
4.92056074766464,AppStore,2023-01-18,
4.645,GooglePlay,2023-01-18,
4.75,GooglePlay,2023-01-19,
4.869747899159663,AppStore,2023-01-19,
4.957446808510638,AppStore,2023-01-20,
4.567,GooglePlay,2023-01-20,
4.747,GooglePlay,2023-01-21,
4.896551724137931,AppStore,2023-01-21,
4.361,GooglePlay,2023-01-22,
4.952991452991453,AppStore,2023-01-22,
4.897727272727272,AppStore,2023-01-23,
4.783,GooglePlay,2023-01-23,
4.933333333333334,AppStore,2023-01-24,
4.625,GooglePlay,2023-01-24,
4.867469879518072,AppStore,2023-01-25,
4.662,GooglePlay,2023-01-25,
4.74,GooglePlay,2023-01-26,
4.919831223628692,AppStore,2023-01-26,
4.919230769231665,AppStore,2023-01-27,
4.895,GooglePlay,2023-01-27,
4.949367088607006,AppStore,2023-01-28,
4.949,GooglePlay,2023-01-28,
4.880733944951992,AppStore,2023-01-29,
4.609,GooglePlay,2023-01-29,
4.672,GooglePlay,2023-01-30,
4.970909090909937,AppStore,2023-01-30,
4.88,GooglePlay,2023-01-31,
4.914191419141914,AppStore,2023-01-31,
4.69,GooglePlay,2023-02-01,
4.910344827586207,AppStore,2023-02-01,
4.343,GooglePlay,2023-02-02,
4.956678700361011,AppStore,2023-02-02,
4.954968796562491,AppStore,2023-02-03,
4.127,GooglePlay,2023-02-03,
3.574,GooglePlay,2023-02-04,
4.95325889276397,AppStore,2023-02-04,
4.912757211076943,AppStore,2023-02-05,
3.368,GooglePlay,2023-02-05,
3.562,GooglePlay,2023-02-06,
4.898598830590984,AppStore,2023-02-06,
4.89459272127502,AppStore,2023-02-07,
4.066,GooglePlay,2023-02-07,
4.076,GooglePlay,2023-02-08,
4.889433734261459,AppStore,2023-02-08,
4.096,GooglePlay,2023-02-09,
4.868163512332478,AppStore,2023-02-09,
4.165,GooglePlay,2023-02-10,
4.848715902507703,AppStore,2023-02-10,
4.829268292682927,AppStore,2023-02-11,
4.496,GooglePlay,2023-02-11,
4.615,GooglePlay,2023-02-12,
4.850299401197605,AppStore,2023-02-12,
4.356,GooglePlay,2023-02-13,
4.828125,AppStore,2023-02-13,
4.87,AppStore,2023-02-14,
4.111,GooglePlay,2023-02-14,
4.724831744781746,AppStore,2023-02-15,
4.82,GooglePlay,2023-02-15,
4.86283185840811,AppStore,2023-02-16,
4.344,GooglePlay,2023-02-16,
4.843373493975903,AppStore,2023-02-17,
4.608,GooglePlay,2023-02-17,
4.376,GooglePlay,2023-02-18,
4.886304909560724,AppStore,2023-02-18,
4.932400932400389,AppStore,2023-02-19,
4.551,GooglePlay,2023-02-19,
4.88688946015484,AppStore,2023-02-20,
4.648,GooglePlay,2023-02-20,
4.966666666666667,AppStore,2023-02-21,
4.463,GooglePlay,2023-02-21,
4.925595238095238,AppStore,2023-02-22,
4.72,GooglePlay,2023-02-22,
4.875989445910291,AppStore,2023-02-23,
4.691,GooglePlay,2023-02-23,
4.930769230769828,AppStore,2023-02-24,
4.582,GooglePlay,2023-02-24,
4.778,GooglePlay,2023-02-25,
4.863979848865912,AppStore,2023-02-25,
4.952380952380953,AppStore,2023-02-26,
4.333,GooglePlay,2023-02-26,
4.930921052630813,AppStore,2023-02-27,
4.588,GooglePlay,2023-02-27,
4.779,GooglePlay,2023-02-28,
4.911111111111758,AppStore,2023-02-28,
4.949852507374631,AppStore,2023-03-01,
4.644,GooglePlay,2023-03-01,
4.615,GooglePlay,2023-03-02,
4.896551724137931,AppStore,2023-03-02,
4.771,GooglePlay,2023-03-03,
4.834482758620689,AppStore,2023-03-03,
4.906766610968459,AppStore,2023-03-04,
4.535,GooglePlay,2023-03-04,
4.830560577971097,AppStore,2023-03-05,
4.682,GooglePlay,2023-03-05,
4.924493554328238,AppStore,2023-03-06,
4.607,GooglePlay,2023-03-06,
4.930783242258652,AppStore,2023-03-07,
4.546,GooglePlay,2023-03-07,
4.761,GooglePlay,2023-03-08,
4.938616071428831,AppStore,2023-03-08,
4.943925233643927,AppStore,2023-03-09,
4.71,GooglePlay,2023-03-09,
4.935714285714618,AppStore,2023-03-10,
4.61,GooglePlay,2023-03-10,
4.891044776119403,AppStore,2023-03-11,
4.696,GooglePlay,2023-03-11,
4.64,GooglePlay,2023-03-12,
4.879417879417879,AppStore,2023-03-12,
4.638,GooglePlay,2023-03-13,
4.875,AppStore,2023-03-13,
4.937142857142857,AppStore,2023-03-14,
4.598,GooglePlay,2023-03-14,
4.704,GooglePlay,2023-03-15,
4.915632754342432,AppStore,2023-03-15,
4.58,GooglePlay,2023-03-16,
4.940170940170277,AppStore,2023-03-16,
4.858381502890846,AppStore,2023-03-17,
4.778,GooglePlay,2023-03-17,
4.845410628019324,AppStore,2023-03-18,
4.616,GooglePlay,2023-03-18,
4.777,GooglePlay,2023-03-19,
4.887931034482759,AppStore,2023-03-19,
4.774,GooglePlay,2023-03-20,
4.899999999999353,AppStore,2023-03-20,
4.716,GooglePlay,2023-03-21,
4.896449704142701,AppStore,2023-03-21,
4.894736842105263,AppStore,2023-03-22,
4.679,GooglePlay,2023-03-22,
4.855218855219639,AppStore,2023-03-23,
4.52,GooglePlay,2023-03-23,
4.5,GooglePlay,2023-03-24,
4.88,AppStore,2023-03-24,
4.588,GooglePlay,2023-03-25,
4.88,AppStore,2023-03-25,
4.681,GooglePlay,2023-03-26,
4.903125,AppStore,2023-03-26,
4.839,GooglePlay,2023-03-27,
4.924092409240155,AppStore,2023-03-27,
4.972144846797955,AppStore,2023-03-28,
4.662,GooglePlay,2023-03-28,
4.958174904942081,AppStore,2023-03-29,
4.633,GooglePlay,2023-03-29,
4.901754385965729,AppStore,2023-03-30,
4.771,GooglePlay,2023-03-30,
4.636,GooglePlay,2023-03-31,
4.922509225091392,AppStore,2023-03-31,
4.549,GooglePlay,2023-04-01,
4.886426592797784,AppStore,2023-04-01,
4.569,GooglePlay,2023-04-02,
4.858870967741935,AppStore,2023-04-02,
4.8,GooglePlay,2023-04-03,
4.893129770994144,AppStore,2023-04-03,
4.792,GooglePlay,2023-04-04,
4.938080495354596,AppStore,2023-04-04,
4.925196850392784,AppStore,2023-04-05,
4.739,GooglePlay,2023-04-05,
4.94,AppStore,2023-04-06,
4.667,GooglePlay,2023-04-06,
4.773,GooglePlay,2023-04-07,
4.932201514705169,AppStore,2023-04-07,
4.91,AppStore,2023-04-08,
4.789,GooglePlay,2023-04-08,
4.946360153257597,AppStore,2023-04-09,
4.7,GooglePlay,2023-04-09,
4.343,GooglePlay,2023-04-10,
4.988372093022353,AppStore,2023-04-10,
4.222,GooglePlay,2023-04-11,
4.893081761007021,AppStore,2023-04-11,
4.221,GooglePlay,2023-04-12,
4.791095890409364,AppStore,2023-04-12,
4.924200354618308,AppStore,2023-04-13,
4.402,GooglePlay,2023-04-13,
4.657335111103952,AppStore,2023-04-14,
4.423,GooglePlay,2023-04-14,
4.506,GooglePlay,2023-04-15,
4.853018372703412,AppStore,2023-04-15,
4.936305732483335,AppStore,2023-04-16,
4.422,GooglePlay,2023-04-16,
4.813253012048894,AppStore,2023-04-17,
4.646,GooglePlay,2023-04-17,
4.827586206896552,AppStore,2023-04-18,
4.597,GooglePlay,2023-04-18,
4.544,GooglePlay,2023-04-19,
4.885135135135135,AppStore,2023-04-19,
4.898773006133541,AppStore,2023-04-20,
4.717,GooglePlay,2023-04-20,
4.855263157896268,AppStore,2023-04-21,
4.27,GooglePlay,2023-04-21,
4.951504177595093,AppStore,2023-04-22,
4.551,GooglePlay,2023-04-22,
4.854757041843216,AppStore,2023-04-23,
4.309,GooglePlay,2023-04-23,
4.273,GooglePlay,2023-04-24,
4.846153846153206,AppStore,2023-04-24,
4.722371967656241,AppStore,2023-04-25,
4.491,GooglePlay,2023-04-25,
4.864468864466306,AppStore,2023-04-26,
4.516,GooglePlay,2023-04-26,
4.95,AppStore,2023-04-27,
4.22,GooglePlay,2023-04-27,
4.832966896270536,AppStore,2023-04-28,
4.667,GooglePlay,2023-04-28,
4.87,AppStore,2023-04-29,
4.543,GooglePlay,2023-04-29,
4.906137184115524,AppStore,2023-04-30,
4.469,GooglePlay,2023-04-30,
4.412,GooglePlay,2023-05-01,
4.960829493087021,AppStore,2023-05-01,
4.869918699186992,AppStore,2023-05-02,
4.36,GooglePlay,2023-05-02,
4.78494623655914,AppStore,2023-05-03,
4.511,GooglePlay,2023-05-03,
4.983935742971887,AppStore,2023-05-04,
4.338,GooglePlay,2023-05-04,
4.411,GooglePlay,2023-05-05,
4.851494600273473,AppStore,2023-05-05,
4.317,GooglePlay,2023-05-06,
4.890440883596556,AppStore,2023-05-06,
4.836,GooglePlay,2023-05-07,
4.808000000000932,AppStore,2023-05-07,
4.5,GooglePlay,2023-05-08,
4.862068965515904,AppStore,2023-05-08,
4.907749077491634,AppStore,2023-05-09,
4.578,GooglePlay,2023-05-09,
4.5,GooglePlay,2023-05-10,
4.8860103626943,AppStore,2023-05-10,
4.782122905027933,AppStore,2023-05-11,
4.66,GooglePlay,2023-05-11,
4.846,GooglePlay,2023-05-12,
4.902912621359223,AppStore,2023-05-12,
4.9375,AppStore,2023-05-13,
4.643,GooglePlay,2023-05-13,
4.891,GooglePlay,2023-05-14,
4.949541284403669,AppStore,2023-05-14,
4.733,GooglePlay,2023-05-15,
4.876106194691296,AppStore,2023-05-15,
4.825203252031574,AppStore,2023-05-16,
4.588,GooglePlay,2023-05-16,
4.949308755762514,AppStore,2023-05-17,
4.647,GooglePlay,2023-05-17,
4.714,GooglePlay,2023-05-18,
4.872465879837356,AppStore,2023-05-18,
4.98,AppStore,2023-05-19,
4.462,GooglePlay,2023-05-19,
4.962790697674419,AppStore,2023-05-20,
4.477,GooglePlay,2023-05-20,
